                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                 1.0899,                 1.1151,                 1.1324,                0.57153,                0.44601,                 0.4728,                0.32169,                 1.2734,                 1.4754,                 1.2442,             3.6134e-05,             3.6134e-05,             3.6134e-05
                     84,                 1.0768,                 1.0999,                 1.1271,                0.56829,                0.45021,                0.47319,                0.32223,                 1.2779,                 1.4727,                 1.2451,             3.4234e-05,             3.4234e-05,             3.4234e-05
                     85,                 1.0896,                 1.1065,                 1.1336,                0.53874,                0.45786,                0.46864,                 0.3203,                 1.2743,                 1.4773,                 1.2422,             3.2333e-05,             3.2333e-05,             3.2333e-05
                     86,                 1.0782,                 1.1048,                 1.1316,                0.54982,                0.46956,                0.47242,                0.32371,                 1.2728,                 1.4764,                 1.2426,             3.0432e-05,             3.0432e-05,             3.0432e-05
                     87,                 1.0894,                 1.0995,                 1.1326,                0.57703,                0.44739,                  0.472,                0.32173,                 1.2734,                 1.4765,                 1.2421,             2.8531e-05,             2.8531e-05,             2.8531e-05
                     88,                 1.0819,                 1.1043,                 1.1316,                0.55637,                0.46097,                0.47079,                0.32134,                 1.2741,                 1.4789,                 1.2424,              2.663e-05,              2.663e-05,              2.663e-05
                     89,                 1.0887,                 1.1067,                   1.13,                0.55354,                  0.462,                0.46773,                0.32035,                 1.2741,                 1.4778,                 1.2435,              2.473e-05,              2.473e-05,              2.473e-05
                     90,                 1.0946,                 1.1035,                 1.1256,                0.54212,                0.44093,                0.44872,                0.30187,                 1.2968,                 1.5085,                 1.2606,             2.2829e-05,             2.2829e-05,             2.2829e-05
                     91,                 1.0628,                 1.0302,                 1.1093,                0.52993,                0.46002,                0.45681,                0.30741,                 1.2907,                 1.4979,                  1.258,             2.0928e-05,             2.0928e-05,             2.0928e-05
                     92,                 1.0491,                  1.009,                 1.1003,                0.57534,                0.44318,                0.46036,                0.31057,                 1.2859,                  1.494,                 1.2547,             1.9027e-05,             1.9027e-05,             1.9027e-05
                     93,                 1.0468,                  1.007,                 1.1005,                0.58108,                0.43897,                0.46226,                 0.3129,                 1.2796,                 1.4923,                 1.2475,             1.7126e-05,             1.7126e-05,             1.7126e-05
                     94,                 1.0491,                 1.0036,                  1.098,                0.57713,                0.44141,                0.46136,                0.31247,                 1.2833,                 1.4954,                 1.2506,             1.5226e-05,             1.5226e-05,             1.5226e-05
                     95,                 1.0345,                0.98877,                 1.0946,                0.58592,                0.43814,                0.46283,                0.31502,                 1.2801,                 1.4972,                 1.2487,             1.3325e-05,             1.3325e-05,             1.3325e-05
                     96,                 1.0358,                 0.9905,                 1.0902,                0.58839,                0.44029,                0.46402,                0.31579,                 1.2805,                 1.4953,                 1.2489,             1.1424e-05,             1.1424e-05,             1.1424e-05
                     97,                 1.0382,                0.98014,                 1.0895,                0.58577,                0.44219,                0.46428,                0.31667,                 1.2802,                  1.491,                 1.2484,             9.5232e-06,             9.5232e-06,             9.5232e-06
                     98,                 1.0421,                0.98593,                 1.0955,                0.58856,                0.44013,                  0.465,                0.31707,                 1.2797,                 1.4914,                 1.2481,             7.6224e-06,             7.6224e-06,             7.6224e-06
                     99,                 1.0302,                0.97116,                 1.0864,                0.55406,                0.45389,                 0.4643,                0.31714,                 1.2788,                 1.4888,                 1.2475,             5.7216e-06,             5.7216e-06,             5.7216e-06
